Advertiser Name,Impression share,Impression share (Comparison),Outranking share,Outranking share (Comparison),Overlap rate,Overlap rate (Comparison),Top of page rate,Top of page rate (Comparison),Position above rate,Position above rate (Comparison)
You,13.05%,13.05%,No data,No data,No data,No data,71.97%,71.97%,No data,No data
ibm.com,20.70%,20.70%,12.22%,12.22%,14.54%,14.54%,63.42%,63.42%,43.69%,43.69%
trae.ai,16.13%,16.13%,9.38%,9.38%,34.41%,34.41%,83.85%,83.85%,81.63%,81.63%
v0.dev,19.85%,19.85%,12.62%,12.62%,3.50%,3.50%,51.97%,51.97%,95.00%,95.00%
google.com,< 10%,< 10%,10.05%,10.05%,29.72%,29.72%,71.23%,71.23%,77.25%,77.25%
perplexity.ai,< 10%,< 10%,12.93%,12.93%,1.60%,1.60%,55.29%,55.29%,56.36%,56.36%
augmentcode.com,24.77%,24.77%,12.90%,12.90%,1.89%,1.89%,77.82%,77.82%,58.46%,58.46%
graphite.dev,< 10%,< 10%,12.84%,12.84%,1.72%,1.72%,75.55%,75.55%,91.53%,91.53%
redhat.com,< 10%,< 10%,12.89%,12.89%,1.25%,1.25%,61.40%,61.40%,100.00%,100.00%
replit.com,17.60%,17.60%,12.80%,12.80%,3.44%,3.44%,58.96%,58.96%,55.08%,55.08%
amazon.com,19.90%,19.90%,8.51%,8.51%,56.38%,56.38%,71.63%,71.63%,61.76%,61.76%
zencoder.ai,13.95%,13.95%,11.32%,11.32%,38.37%,38.37%,59.29%,59.29%,34.62%,34.62%
github.com,< 10%,< 10%,12.81%,12.81%,5.91%,5.91%,59.16%,59.16%,31.03%,31.03%
intel.com,< 10%,< 10%,12.53%,12.53%,6.73%,6.73%,65.42%,65.42%,58.87%,58.87%
deloitte.com,40.63%,40.63%,12.47%,12.47%,4.72%,4.72%,91.12%,91.12%,94.44%,94.44%
myninja.ai,15.27%,15.27%,12.92%,12.92%,1.46%,1.46%,49.10%,49.10%,68.00%,68.00%
claude.ai,24.60%,24.60%,13.00%,13.00%,0.47%,0.47%,85.21%,85.21%,75.00%,75.00%
blackbox.ai,< 10%,< 10%,11.98%,11.98%,34.09%,34.09%,41.31%,41.31%,24.10%,24.10%
codegen.com,< 10%,< 10%,12.69%,12.69%,2.94%,2.94%,72.20%,72.20%,94.06%,94.06%
