Search Keyword,Match type,Criterion Status,Campaign Status,Ad Group Status,Cost,Clicks,CTR
ai software development,Exact match,Enabled,Paused,Enabled,$91.73,187,19.48%
programming ai,Exact match,Enabled,Paused,Enabled,$83.58,166,10.96%
ai tools for developers,Exact match,Enabled,Paused,Enabled,$71.92,109,16.85%
AI code generator,Exact match,Enabled,Paused,Paused,$39.88,81,12.78%
ai code writer,Exact match,Enabled,Paused,Enabled,$39.82,77,26.28%
ai coding,Exact match,Enabled,Paused,Enabled,$32.69,49,10.43%
ai tool for coding,Exact match,Enabled,Paused,Paused,$30.36,45,7.29%
coding ai,Exact match,Enabled,Paused,Enabled,$22.88,41,11.92%
code ai,Exact match,Enabled,Paused,Enabled,$21.01,32,10.81%
ai coding,Exact match,Enabled,Paused,Paused,$18.69,39,7.89%
ai for coding,Exact match,Enabled,Paused,Enabled,$17.32,29,16.76%
artificial intelligence software development,Exact match,Enabled,Paused,Enabled,$14.49,23,14.74%
ai powered software,Exact match,Enabled,Paused,Paused,$12.88,67,9.41%
ai code generator,Exact match,Enabled,Paused,Enabled,$11.31,12,9.09%
best ai for coding,Exact match,Enabled,Paused,Paused,$10.23,19,2.83%
coding software,Exact match,Enabled,Paused,Enabled,$9.91,14,16.28%
coding ai,Exact match,Enabled,Paused,Paused,$8.24,16,9.25%
ai code assistant,Exact match,Enabled,Paused,Enabled,$7.50,10,16.67%
ai software development tools,Exact match,Enabled,Paused,Enabled,$6.71,12,16.00%
artificial intelligence software development,Exact match,Enabled,Paused,Enabled,$6.66,14,18.42%
ai for coding,Exact match,Enabled,Paused,Paused,$6.65,13,5.24%
coding software,Exact match,Enabled,Paused,Paused,$5.78,18,7.53%
ai development tools,Exact match,Enabled,Paused,Enabled,$5.37,9,12.68%
coding ai tools,Exact match,Enabled,Paused,Paused,$5.29,9,6.00%
best ai for coding,Exact match,Enabled,Paused,Enabled,$4.76,6,4.72%
ai tools for coding,Exact match,Enabled,Paused,Paused,$4.50,9,6.29%
ai software development,Exact match,Enabled,Paused,Enabled,$4.06,11,6.88%
ai code writer,Exact match,Enabled,Paused,Paused,$3.83,6,5.61%
AI for code,Exact match,Enabled,Paused,Paused,$3.38,7,12.28%
ai that writes code,Exact match,Enabled,Paused,Enabled,$2.97,4,7.55%
AI code generation,Exact match,Enabled,Paused,Paused,$2.86,6,7.89%
ai tools for developers,Exact match,Enabled,Paused,Paused,$2.60,5,2.63%
Cursor alternatives,Exact match,Enabled,Paused,Enabled,$2.56,2,22.22%
ai development tools,Exact match,Enabled,Paused,Enabled,$2.32,6,8.96%
AI code development,Exact match,Enabled,Paused,Paused,$2.13,4,5.88%
ai programming tool,Exact match,Enabled,Paused,Paused,$2.10,5,5.95%
ai tools for software development,Exact match,Enabled,Paused,Enabled,$2.06,3,2.63%
AI coding assistant,Exact match,Enabled,Paused,Paused,$2.01,4,4.82%
AI code Assistant,Exact match,Enabled,Paused,Paused,$1.59,1,2.44%
ai driven software development,Exact match,Enabled,Paused,Enabled,$1.49,11,15.94%
software engineer ai,Exact match,Enabled,Paused,Enabled,$1.43,3,2.75%
ai coding generator,Exact match,Enabled,Paused,Enabled,$1.38,2,7.41%
ai that writes code,Exact match,Enabled,Paused,Paused,$1.35,5,4.72%
ai programming tool,Exact match,Enabled,Paused,Enabled,$1.19,1,4.17%
ai software development life cycle,Exact match,Enabled,Paused,Enabled,$1.00,4,14.81%
programming ai,Exact match,Enabled,Paused,Paused,$0.90,3,4.35%
best ai code generator,Exact match,Enabled,Paused,Paused,$0.78,2,1.68%
ai powered software development,Exact match,Enabled,Paused,Enabled,$0.72,1,2.86%
AI coding software,Exact match,Enabled,Paused,Paused,$0.71,2,7.14%
Artificial intelligence coding,Exact match,Enabled,Paused,Paused,$0.69,3,4.11%
